nta_code,year_month,temp_max_mean,temp_min_mean,precip_total,wind_max_mean
BX1091,2025-06,28.31,18.80666666666667,71.7,14.336666666666668
BX1091,2025-07,31.72258064516129,22.451612903225808,100.2,13.893548387096773
BX1091,2025-08,28.69677419354839,18.706451612903226,28.599999999999998,14.212903225806452
BX1091,2025-09,25.353333333333335,16.763333333333335,90.6,12.576666666666666
BX1091,2025-10,18.55806451612903,10.077419354838709,119.0,16.651612903225807
BX1091,2025-11,11.146666666666667,3.7366666666666664,47.3,18.006666666666668
BX1091,2025-12,3.4064516129032256,-3.5870967741935487,76.9,17.990322580645163
BX1101,2019-01,3.274193548387097,-4.699999999999999,116.8,22.429032258064513
BX1101,2019-02,5.460714285714286,-3.1,81.1,20.467857142857145
BX1101,2019-03,7.890322580645161,-1.4258064516129034,112.3,20.58709677419355
BX1101,2019-04,15.986666666666668,6.3966666666666665,136.4,22.736666666666668
BX1101,2019-05,19.94193548387097,11.212903225806452,141.79999999999998,19.316129032258065
BX1101,2019-06,25.03666666666667,16.486666666666668,161.5,17.803333333333335
BX1101,2019-07,30.0,21.135483870967743,117.7,15.803225806451612
BX1101,2019-08,27.432258064516127,19.580645161290324,105.8,15.103225806451613
BX1101,2019-09,24.65,15.79,37.7,16.85
BX1101,2019-10,18.46451612903226,10.990322580645161,156.6,20.651612903225807
BX1101,2019-11,9.389999999999999,1.2666666666666666,60.2,19.453333333333333
BX1101,2019-12,5.658064516129032,-1.2161290322580647,163.6,20.648387096774194
BX1101,2020-01,6.641935483870968,-1.1709677419354838,60.4,20.716129032258067
BX1101,2020-02,7.248275862068965,-0.8068965517241379,87.7,19.551724137931036
BX1101,2020-03,11.90967741935484,2.509677419354839,98.8,21.0258064516129
BX1101,2020-04,13.133333333333333,4.336666666666667,138.8,24.4
BX1101,2020-05,19.0,9.416129032258064,70.0,21.18064516129032
BX1101,2020-06,26.82,17.09333333333333,73.2,18.876666666666665
BX1101,2020-07,30.629032258064516,21.75483870967742,125.3,17.493548387096773
BX1101,2020-08,28.287096774193547,20.5,101.2,18.13225806451613
BX1101,2020-09,23.83,15.536666666666667,106.6,17.636666666666667
BX1101,2020-10,17.67096774193548,10.580645161290322,132.5,17.80322580645161
BX1101,2020-11,14.2,5.3133333333333335,114.3,20.27
BX1101,2020-12,6.261290322580645,-1.1838709677419355,133.7,22.02258064516129
BX1101,2021-01,4.129032258064516,-2.9387096774193546,52.9,21.112903225806452
BX1101,2021-02,2.882142857142857,-4.7749999999999995,147.70000000000002,19.75
BX1101,2021-03,11.05483870967742,0.332258064516129,90.4,22.406451612903226
BX1101,2021-04,15.82,4.883333333333334,87.8,20.746666666666666
BX1101,2021-05,20.651612903225807,10.429032258064517,115.5,19.69677419354839
BX1101,2021-06,26.9,17.279999999999998,59.9,17.743333333333332
BX1101,2021-07,27.641935483870967,20.061290322580643,200.29999999999998,15.738709677419354
BX1101,2021-08,28.19677419354839,20.73548387096774,148.3,16.629032258064516
BX1101,2021-09,24.31,16.883333333333333,233.4,19.826666666666664
BX1101,2021-10,20.116129032258065,12.82258064516129,194.5,19.606451612903225
BX1101,2021-11,11.056666666666667,3.06,40.9,18.73
BX1101,2021-12,8.77741935483871,1.9225806451612903,47.7,17.961290322580645
BX1101,2022-01,2.293548387096774,-6.129032258064516,114.8,21.56451612903226
BX1101,2022-02,6.485714285714286,-3.5357142857142856,94.1,22.974999999999998
BX1101,2022-03,10.938709677419356,0.8387096774193549,112.9,22.67096774193548
BX1101,2022-04,14.733333333333333,5.076666666666667,139.3,23.09333333333333
BX1101,2022-05,21.567741935483873,11.870967741935484,113.3,18.393548387096775
BX1101,2022-06,26.56,16.243333333333332,100.2,20.033333333333335
BX1101,2022-07,31.541935483870965,20.887096774193548,56.2,20.96451612903226
BX1101,2022-08,30.493548387096773,20.83225806451613,59.1,18.22258064516129
BX1101,2022-09,24.456666666666667,15.776666666666667,89.89999999999999,16.87666666666667
BX1101,2022-10,17.338709677419356,9.087096774193547,250.2,18.4741935483871
BX1101,2022-11,13.06,5.333333333333333,84.9,21.09333333333333
BX1101,2022-12,6.119354838709677,-1.5419354838709676,108.3,20.593548387096774
BX1101,2023-01,8.396774193548387,0.7516129032258064,114.4,19.519354838709678
BX1101,2023-02,7.853571428571429,-1.5178571428571426,42.3,22.50357142857143
BX1101,2023-03,9.709677419354838,0.6451612903225806,137.3,22.767741935483873
BX1101,2023-04,17.553333333333335,7.433333333333334,135.7,20.336666666666666
BX1101,2023-05,21.070967741935487,9.858064516129033,34.400000000000006,18.251612903225805
BX1101,2023-06,25.303333333333335,15.09,94.9,18.873333333333335
BX1101,2023-07,29.36774193548387,20.190322580645162,169.0,16.44516129032258
BX1101,2023-08,27.296774193548387,18.648387096774194,128.7,17.57741935483871
BX1101,2023-09,24.116666666666667,15.99,268.1,16.456666666666667
BX1101,2023-10,19.219354838709677,10.474193548387097,125.4,16.625806451612902
BX1101,2023-11,10.933333333333334,2.2366666666666664,57.699999999999996,18.326666666666664
BX1101,2023-12,9.02258064516129,1.6806451612903226,215.6,17.396774193548385
BX1101,2024-01,4.851612903225806,-2.1129032258064515,159.4,21.570967741935487
BX1101,2024-02,6.872413793103449,-2.037931034482759,62.7,18.893103448275863
BX1101,2024-03,11.661290322580646,2.3483870967741933,222.9,22.687096774193545
BX1101,2024-04,15.503333333333334,5.756666666666666,107.5,22.87
BX1101,2024-05,22.248387096774195,12.30967741935484,97.6,18.009677419354837
BX1101,2024-06,28.35,17.8,72.7,20.326666666666664
BX1101,2024-07,29.932258064516127,20.683870967741935,127.4,17.93548387096774
BX1101,2024-08,27.84193548387097,18.806451612903224,148.9,17.5
BX1101,2024-09,24.223333333333336,15.03,23.1,15.743333333333334
BX1101,2024-10,20.309677419354838,9.638709677419355,6.4,16.729032258064517
BX1101,2024-11,14.18,5.933333333333334,90.9,18.91
BX1101,2024-12,5.270967741935484,-1.1387096774193548,89.3,16.33225806451613
BX1101,2025-01,1.2161290322580647,-4.770967741935484,29.299999999999997,19.85483870967742
BX1101,2025-02,3.617857142857143,-3.228571428571428,74.0,18.425
BX1101,2025-03,11.893548387096773,1.9580645161290322,120.5,19.67096774193548
BX1101,2025-04,16.413333333333334,7.036666666666666,79.2,19.363333333333333
BX1101,2025-05,20.27741935483871,12.403225806451612,170.9,16.412903225806453
BX1101,2025-06,27.776666666666664,18.583333333333332,73.8,15.129999999999999
BX1101,2025-07,31.493548387096773,22.32903225806452,120.2,15.006451612903225
BX1101,2025-08,28.403225806451612,18.72258064516129,25.5,14.76774193548387
BX1101,2025-09,25.116666666666667,16.743333333333332,82.5,13.533333333333333
BX1101,2025-10,18.393548387096775,10.158064516129032,116.2,17.60967741935484
BX1101,2025-11,10.936666666666667,3.85,52.7,19.2
BX1101,2025-12,3.4129032258064513,-3.487096774193548,81.8,19.174193548387095
BX1102,2019-01,3.274193548387097,-4.699999999999999,116.8,22.429032258064513
BX1102,2019-02,5.460714285714286,-3.1,81.1,20.467857142857145
BX1102,2019-03,7.890322580645161,-1.4258064516129034,112.3,20.58709677419355
BX1102,2019-04,15.986666666666668,6.3966666666666665,136.4,22.736666666666668
BX1102,2019-05,19.94193548387097,11.212903225806452,141.79999999999998,19.316129032258065
BX1102,2019-06,25.03666666666667,16.486666666666668,161.5,17.803333333333335
BX1102,2019-07,30.0,21.135483870967743,117.7,15.803225806451612
BX1102,2019-08,27.432258064516127,19.580645161290324,105.8,15.103225806451613
BX1102,2019-09,24.65,15.79,37.7,16.85
BX1102,2019-10,18.46451612903226,10.990322580645161,156.6,20.651612903225807
BX1102,2019-11,9.389999999999999,1.2666666666666666,60.2,19.453333333333333
BX1102,2019-12,5.658064516129032,-1.2161290322580647,163.6,20.648387096774194
BX1102,2020-01,6.641935483870968,-1.1709677419354838,60.4,20.716129032258067
BX1102,2020-02,7.248275862068965,-0.8068965517241379,87.7,19.551724137931036
BX1102,2020-03,11.90967741935484,2.509677419354839,98.8,21.0258064516129
BX1102,2020-04,13.133333333333333,4.336666666666667,138.8,24.4
BX1102,2020-05,19.0,9.416129032258064,70.0,21.18064516129032
