nta_code,tree_count,total_dbh,mean_dbh,pct_good_health
QN1001,6886,107998,15.68370607028754,0.8248620389195469
QN1002,3093,43521,14.070805043646944,0.8755253798900744
QN1003,4368,53700,12.293956043956044,0.7973901098901099
QN1101,7718,115346,14.945063487950247,0.8528116092251878
QN1102,7871,115780,14.709693812730276,0.8005336043704739
QN1103,6927,96908,13.989894615273567,0.8146383715894326
QN1104,4487,68193,15.197905059059504,0.8861154446177847
QN1201,3994,38996,9.763645468202304,0.8184777165748623
QN1202,3560,46326,13.012921348314606,0.8651685393258427
QN1203,4900,66558,13.583265306122449,0.8644897959183674
QN1204,3343,46692,13.967095423272509,0.9063715225845049
QN1205,6644,91903,13.832480433473812,0.8946417820590006
QN1206,2530,34712,13.7201581027668,0.8936758893280632
QN1301,6423,92717,14.435154912034875,0.839638798069438
QN1302,6065,90106,14.856718878812861,0.7544929925803793
QN1303,6498,90982,14.00153893505694,0.7794706063404124
QN1304,3099,43872,14.156824782187803,0.8280090351726364
QN1305,4406,57373,13.02156150703586,0.7857467090331366
QN1306,3603,39325,10.914515681376631,0.8576186511240633
QN1307,5134,65644,12.786131671211532,0.8570315543435918
QN1401,5000,45455,9.091,0.7092
QN1402,2763,14197,5.138255519363011,0.5993485342019544
QN1403,3369,27256,8.090234490946868,0.6114574057583853
SI0101,2274,23247,10.222955145118734,0.8122251539138082
SI0102,2204,19564,8.876588021778584,0.7781306715063521
SI0103,2722,23718,8.713445995591476,0.8541513592946363
SI0104,5436,75647,13.915930831493746,0.8839220014716703
SI0105,6330,85450,13.499210110584519,0.9042654028436019
SI0106,2082,21610,10.379442843419788,0.866474543707973
SI0107,3582,31117,8.687046342825237,0.7841987716359575
SI0201,5745,71367,12.422454308093995,0.8537859007832899
SI0202,6429,93077,14.477679265826723,0.83481101259916
SI0203,5516,63143,11.447244379985497,0.8511602610587382
SI0204,7064,67640,9.575311438278595,0.7238108720271801
SI0301,5462,65804,12.047601611131453,0.80483339436104
SI0302,14785,156385,10.57727426445722,0.7609739600946905
SI0303,8414,81687,9.70846208699786,0.8282624197765629
SI0304,16522,153471,9.288887543880886,0.8072267279990316
SI0305,6563,59872,9.122657321346946,0.8250799939052262
