nta_code,NTAName,borough,year_month,date,borough_count,n_ntas,estimated_count
BK0103,South Williamsburg,Brooklyn,2024-11,2024-11-01,1657.0,53,36.10672137964164
BK0103,South Williamsburg,Brooklyn,2024-12,2024-12-01,1715.0,53,37.37056558001534
BK0103,South Williamsburg,Brooklyn,2025-01,2025-01-01,1489.0,53,32.445931282007486
BK0103,South Williamsburg,Brooklyn,2025-02,2025-02-01,1240.0,53,27.02011738729972
BK0103,South Williamsburg,Brooklyn,2025-03,2025-03-01,1558.0,53,33.94947007210723
BK0103,South Williamsburg,Brooklyn,2025-04,2025-04-01,1784.0,53,38.874104370115084
BK0103,South Williamsburg,Brooklyn,2025-05,2025-05-01,1973.0,53,42.99249322995351
BK0103,South Williamsburg,Brooklyn,2025-06,2025-06-01,1433.0,53,31.225667916129435
BK0103,South Williamsburg,Brooklyn,2025-07,2025-07-01,1376.0,53,29.983614133003563
BK0103,South Williamsburg,Brooklyn,2025-08,2025-08-01,1437.0,53,31.312829585120724
BK0103,South Williamsburg,Brooklyn,2025-09,2025-09-01,1716.0,53,37.39235599726316
BK0103,South Williamsburg,Brooklyn,2025-10,2025-10-01,1699.0,53,37.02191890405018
BK0103,South Williamsburg,Brooklyn,2025-11,2025-11-01,50.0,53,1.089520862391118
BK0104,East Williamsburg,Brooklyn,2022-03,2022-03-01,1642.0,53,35.727644218858224
BK0104,East Williamsburg,Brooklyn,2022-04,2022-04-01,1540.0,53,33.508265588941335
BK0104,East Williamsburg,Brooklyn,2022-05,2022-05-01,2155.0,53,46.88981321049907
BK0104,East Williamsburg,Brooklyn,2022-06,2022-06-01,1508.0,53,32.811989940339956
BK0104,East Williamsburg,Brooklyn,2022-07,2022-07-01,1377.0,53,29.961611503878064
BK0104,East Williamsburg,Brooklyn,2022-08,2022-08-01,1308.0,53,28.46026713658134
BK0104,East Williamsburg,Brooklyn,2022-09,2022-09-01,1827.0,53,39.75298781233494
BK0104,East Williamsburg,Brooklyn,2022-10,2022-10-01,2066.0,53,44.95329656282649
BK0104,East Williamsburg,Brooklyn,2022-11,2022-11-01,1706.0,53,37.12019551606098
BK0104,East Williamsburg,Brooklyn,2022-12,2022-12-01,1329.0,53,28.917198030975996
BK0104,East Williamsburg,Brooklyn,2023-01,2023-01-01,1378.0,53,29.983370117896854
BK0104,East Williamsburg,Brooklyn,2023-02,2023-02-01,1594.0,53,34.68323074595616
BK0104,East Williamsburg,Brooklyn,2023-03,2023-03-01,1633.0,53,35.53181669268909
BK0104,East Williamsburg,Brooklyn,2023-04,2023-04-01,1914.0,53,41.64598723196994
BK0104,East Williamsburg,Brooklyn,2023-05,2023-05-01,1931.0,53,42.015883670289426
BK0104,East Williamsburg,Brooklyn,2023-06,2023-06-01,1760.0,53,38.29516067307581
BK0104,East Williamsburg,Brooklyn,2023-07,2023-07-01,1442.0,53,31.37592141509961
BK0104,East Williamsburg,Brooklyn,2023-08,2023-08-01,1449.0,53,31.528231713231165
BK0104,East Williamsburg,Brooklyn,2023-09,2023-09-01,1753.0,53,38.14285037494426
BK0104,East Williamsburg,Brooklyn,2023-10,2023-10-01,2030.0,53,44.16998645814994
BK0104,East Williamsburg,Brooklyn,2023-11,2023-11-01,1857.0,53,40.405746232898736
BK0104,East Williamsburg,Brooklyn,2023-12,2023-12-01,1815.0,53,39.49188444410943
BK0104,East Williamsburg,Brooklyn,2024-01,2024-01-01,1689.0,53,36.7502990777415
BK0104,East Williamsburg,Brooklyn,2024-02,2024-02-01,1461.0,53,31.78933508145668
BK0104,East Williamsburg,Brooklyn,2024-03,2024-03-01,1538.0,53,33.46474836090375
BK0104,East Williamsburg,Brooklyn,2024-04,2024-04-01,1636.0,53,35.59709253474547
BK0104,East Williamsburg,Brooklyn,2024-05,2024-05-01,1928.0,53,41.950607828233046
BK0104,East Williamsburg,Brooklyn,2024-06,2024-06-01,1406.0,53,30.592611310423063
BK0104,East Williamsburg,Brooklyn,2024-07,2024-07-01,1334.0,53,29.02599110106996
BK0104,East Williamsburg,Brooklyn,2024-08,2024-08-01,1423.0,53,30.962507748742546
BK0104,East Williamsburg,Brooklyn,2024-09,2024-09-01,1775.0,53,38.621539883357705
BK0104,East Williamsburg,Brooklyn,2024-10,2024-10-01,1834.0,53,39.9052981104665
BK0104,East Williamsburg,Brooklyn,2024-11,2024-11-01,1657.0,53,36.05402342914012
BK0104,East Williamsburg,Brooklyn,2024-12,2024-12-01,1715.0,53,37.31602304223012
BK0104,East Williamsburg,Brooklyn,2025-01,2025-01-01,1489.0,53,32.39857627398289
BK0104,East Williamsburg,Brooklyn,2025-02,2025-02-01,1240.0,53,26.980681383303413
BK0104,East Williamsburg,Brooklyn,2025-03,2025-03-01,1558.0,53,33.89992064127961
BK0104,East Williamsburg,Brooklyn,2025-04,2025-04-01,1784.0,53,38.817367409526845
BK0104,East Williamsburg,Brooklyn,2025-05,2025-05-01,1973.0,53,42.92974545907873
BK0104,East Williamsburg,Brooklyn,2025-06,2025-06-01,1433.0,53,31.180093888930475
BK0104,East Williamsburg,Brooklyn,2025-07,2025-07-01,1376.0,53,29.93985288985927
BK0104,East Williamsburg,Brooklyn,2025-08,2025-08-01,1437.0,53,31.26712834500565
BK0104,East Williamsburg,Brooklyn,2025-09,2025-09-01,1716.0,53,37.337781656248914
BK0104,East Williamsburg,Brooklyn,2025-10,2025-10-01,1699.0,53,36.967885217929435
BK0104,East Williamsburg,Brooklyn,2025-11,2025-11-01,50.0,53,1.0879307009396537
BK0201,Brooklyn Heights,Brooklyn,2022-03,2022-03-01,1642.0,53,35.956435242827325
BK0201,Brooklyn Heights,Brooklyn,2022-04,2022-04-01,1540.0,53,33.72284425941174
BK0201,Brooklyn Heights,Brooklyn,2022-05,2022-05-01,2155.0,53,47.19008401235863
BK0201,Brooklyn Heights,Brooklyn,2022-06,2022-06-01,1508.0,53,33.02210983324215
BK0201,Brooklyn Heights,Brooklyn,2022-07,2022-07-01,1377.0,53,30.153478276110366
