nta_code,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
BK0101,2022-11-26,12.1,4.3,0.0,21.0
BK0101,2022-11-27,14.2,4.9,15.1,33.2
BK0101,2022-11-28,12.1,4.6,0.0,27.0
BK0101,2022-11-29,6.2,0.3,0.0,14.3
BK0101,2022-11-30,13.5,1.1,12.9,42.4
BK0101,2022-12-01,6.2,0.3,0.0,29.2
BK0101,2022-12-02,5.1,-2.4,0.0,12.4
BK0101,2022-12-03,13.5,4.2,9.6,34.6
BK0101,2022-12-04,6.7,0.5,0.0,22.7
BK0101,2022-12-05,6.8,-1.8,0.0,11.3
BK0101,2022-12-06,13.2,0.2,14.1,24.3
BK0101,2022-12-07,14.6,11.4,13.3,24.1
BK0101,2022-12-08,11.6,5.7,0.0,20.0
BK0101,2022-12-09,6.9,0.2,0.0,18.7
BK0101,2022-12-10,4.5,-1.3,0.0,18.2
BK0101,2022-12-11,4.4,0.9,9.1,17.3
BK0101,2022-12-12,3.7,-2.2,1.4,21.3
BK0101,2022-12-13,4.6,-4.5,0.0,16.3
BK0101,2022-12-14,4.2,-1.9,0.0,20.7
BK0101,2022-12-15,5.3,-1.6,15.3,30.3
BK0101,2022-12-16,7.0,3.4,13.3,35.7
BK0101,2022-12-17,6.9,0.7,0.2,25.3
BK0101,2022-12-18,4.0,-2.3,0.0,23.3
BK0101,2022-12-19,3.7,-2.2,0.0,24.9
BK0101,2022-12-20,3.8,-2.3,0.0,18.4
BK0101,2022-12-21,2.9,-4.2,0.0,10.2
BK0101,2022-12-22,7.4,-2.5,7.2,30.1
BK0101,2022-12-23,13.2,-12.5,18.3,48.9
BK0101,2022-12-24,-5.3,-13.4,0.0,37.2
BK0101,2022-12-25,-1.9,-9.9,0.0,26.9
BK0101,2022-12-26,-1.2,-7.9,0.0,20.2
BK0101,2022-12-27,3.0,-5.1,0.0,13.9
BK0101,2022-12-28,6.9,-4.1,0.0,18.0
BK0101,2022-12-29,8.4,-1.2,0.0,16.6
BK0101,2022-12-30,13.1,1.0,0.0,13.0
BK0101,2022-12-31,11.4,4.7,7.8,14.1
BK0101,2023-01-01,11.8,5.0,2.6,18.4
BK0101,2023-01-02,12.4,3.5,0.6,9.8
BK0101,2023-01-03,13.0,7.8,10.7,20.8
BK0101,2023-01-04,17.9,10.6,2.2,18.4
BK0101,2023-01-05,13.1,8.0,0.1,11.9
BK0101,2023-01-06,8.4,3.4,6.1,17.0
BK0101,2023-01-07,8.2,0.3,0.0,21.5
BK0101,2023-01-08,4.3,-2.7,0.0,13.7
BK0101,2023-01-09,7.1,0.4,1.3,18.3
BK0101,2023-01-10,6.3,-0.8,0.0,15.9
BK0101,2023-01-11,3.9,-1.6,0.0,13.0
BK0101,2023-01-12,11.0,-0.8,15.5,23.0
BK0101,2023-01-13,12.8,3.5,1.3,31.2
BK0101,2023-01-14,3.2,-1.0,0.0,26.6
BK0101,2023-01-15,4.4,-2.2,0.0,33.0
BK0101,2023-01-16,7.8,-2.8,0.0,25.2
BK0101,2023-01-17,6.9,-2.3,1.4,12.0
BK0101,2023-01-18,10.9,2.3,0.2,27.1
BK0101,2023-01-19,5.9,2.0,19.4,18.0
BK0101,2023-01-20,8.9,2.3,1.6,30.5
BK0101,2023-01-21,5.8,-1.1,0.4,19.4
BK0101,2023-01-22,5.6,-3.2,5.1,15.7
BK0101,2023-01-23,3.7,1.1,14.6,25.1
BK0101,2023-01-24,8.0,-1.1,0.0,29.5
BK0101,2023-01-25,11.0,-2.2,16.0,47.2
BK0101,2023-01-26,12.1,2.8,13.4,40.0
BK0101,2023-01-27,6.1,-1.6,0.0,19.9
BK0101,2023-01-28,10.9,-0.9,0.0,23.9
BK0101,2023-01-29,10.0,0.5,0.0,19.3
BK0101,2023-01-30,11.6,2.0,0.0,12.8
BK0101,2023-01-31,6.3,0.3,2.4,17.2
BK0101,2023-02-01,3.0,-3.4,1.5,15.9
BK0101,2023-02-02,3.8,-4.1,0.0,19.9
BK0101,2023-02-03,0.2,-10.9,0.0,42.6
BK0101,2023-02-04,-4.2,-16.8,0.0,40.2
BK0101,2023-02-05,8.5,-4.3,0.0,18.2
BK0101,2023-02-06,9.8,-1.2,0.0,29.9
BK0101,2023-02-07,4.0,-4.3,5.0,21.5
BK0101,2023-02-08,10.1,0.5,2.0,22.9
BK0101,2023-02-09,11.3,-0.9,0.0,23.4
BK0101,2023-02-10,14.2,5.6,0.0,28.4
BK0101,2023-02-11,6.7,0.2,0.0,24.6
BK0101,2023-02-12,6.9,-1.1,1.6,17.7
BK0101,2023-02-13,12.8,2.0,1.1,21.8
BK0101,2023-02-14,11.2,2.3,0.0,22.8
BK0101,2023-02-15,16.0,3.2,0.0,26.3
BK0101,2023-02-16,18.9,8.4,2.8,18.1
BK0101,2023-02-17,16.2,0.3,9.4,42.5
BK0101,2023-02-18,5.4,-3.0,0.0,28.2
BK0101,2023-02-19,7.8,-0.6,1.0,30.4
BK0101,2023-02-20,15.6,4.8,0.0,24.6
BK0101,2023-02-21,8.1,1.4,5.4,17.1
BK0101,2023-02-22,5.8,-1.4,4.2,16.0
BK0101,2023-02-23,7.4,2.7,0.6,16.2
BK0101,2023-02-24,7.3,-2.3,0.0,34.3
BK0101,2023-02-25,0.4,-5.5,0.6,20.0
BK0101,2023-02-26,10.3,-3.8,0.0,33.5
