Ind1Name;Dim1Name;Dim1Value;Dim2Name;Dim2Value;Date;number_of_visits
Asthma;Borough;Unknown;Age Group;All age groups;2024-08-01;182
Asthma;Borough;Unknown;Age Group;All age groups;2024-09-01;273
Asthma;Borough;Unknown;Age Group;All age groups;2024-10-01;262
Asthma;Borough;Unknown;Age Group;All age groups;2025-03-01;223
Asthma;Borough;Unknown;Age Group;All age groups;2025-04-01;241
Asthma;Borough;Unknown;Age Group;All age groups;2025-05-01;260
Asthma;Borough;Unknown;Age Group;All age groups;2025-06-01;189
Asthma;Borough;Unknown;Age Group;All age groups;2025-07-01;143
Asthma;Borough;Unknown;Age Group;All age groups;2025-08-01;180
Asthma;Borough;Unknown;Age Group;All age groups;2025-09-01;236
Asthma;Borough;Unknown;Age Group;All age groups;2025-10-01;254
Asthma;Citywide;Citywide;Age Group;All age groups;2022-03-01;5537
Asthma;Citywide;Citywide;Age Group;All age groups;2022-04-01;5049
Asthma;Citywide;Citywide;Age Group;All age groups;2022-05-01;6798
Asthma;Citywide;Citywide;Age Group;All age groups;2022-06-01;4879
Asthma;Citywide;Citywide;Age Group;All age groups;2022-07-01;4248
Asthma;Citywide;Citywide;Age Group;All age groups;2022-08-01;4366
Asthma;Citywide;Citywide;Age Group;All age groups;2022-09-01;6052
Asthma;Citywide;Citywide;Age Group;All age groups;2022-10-01;6831
Asthma;Citywide;Citywide;Age Group;All age groups;2023-03-01;5737
Asthma;Citywide;Citywide;Age Group;All age groups;2023-04-01;6218
Asthma;Citywide;Citywide;Age Group;All age groups;2023-05-01;5963
Asthma;Citywide;Citywide;Age Group;All age groups;2023-06-01;5346
Asthma;Citywide;Citywide;Age Group;All age groups;2023-07-01;4440
Asthma;Citywide;Citywide;Age Group;All age groups;2023-08-01;4404
Asthma;Citywide;Citywide;Age Group;All age groups;2023-09-01;5549
Asthma;Citywide;Citywide;Age Group;All age groups;2023-10-01;6358
Asthma;Citywide;Citywide;Age Group;All age groups;2024-03-01;5262
Asthma;Citywide;Citywide;Age Group;All age groups;2024-04-01;5381
Asthma;Citywide;Citywide;Age Group;All age groups;2024-05-01;6453
Asthma;Citywide;Citywide;Age Group;All age groups;2024-06-01;4729
Asthma;Citywide;Citywide;Age Group;All age groups;2024-07-01;4558
Asthma;Citywide;Citywide;Age Group;All age groups;2024-08-01;4602
Asthma;Citywide;Citywide;Age Group;All age groups;2024-09-01;5969
Asthma;Citywide;Citywide;Age Group;All age groups;2024-10-01;6422
Asthma;Citywide;Citywide;Age Group;All age groups;2025-03-01;5299
Asthma;Citywide;Citywide;Age Group;All age groups;2025-04-01;5790
Asthma;Citywide;Citywide;Age Group;All age groups;2025-05-01;6356
Asthma;Citywide;Citywide;Age Group;All age groups;2025-06-01;4686
Asthma;Citywide;Citywide;Age Group;All age groups;2025-07-01;4251
Asthma;Citywide;Citywide;Age Group;All age groups;2025-08-01;4377
Asthma;Citywide;Citywide;Age Group;All age groups;2025-09-01;5724
Asthma;Citywide;Citywide;Age Group;All age groups;2025-10-01;5640
